Round,Event,Driver,PitLap,age_old,race_laps,open_lap,close_lap,width,has_window,inside,laps_outside
5,,BOT,48,17.666666666666668,68.0,31.0,35.0,5.0,True,False,13.0
5,,COL,29,28.0,68.0,11.0,11.0,1.0,True,False,18.0
5,,HAD,29,,,,,,False,False,
5,,HAD,51,19.0,68.0,33.0,33.0,1.0,True,False,18.0
5,,HAD,60,,,,,,False,False,
5,,HAM,29,,,,,,False,False,
5,,HUL,19,19.333333333333332,68.0,11.0,13.0,3.0,True,False,6.0
5,,LEC,29,,,,,,False,False,
5,,OCO,15,12.0,68.0,11.0,14.0,4.0,True,False,1.0
5,,OCO,28,11.0,68.0,18.0,18.0,1.0,True,False,10.0
5,,PER,14,9.666666666666666,68.0,11.0,12.0,2.0,True,False,2.0
5,,PER,28,,,,,,False,False,
5,,PIA,11,,,,,,False,False,
5,,PIA,50,41.0,68.0,11.0,12.0,2.0,True,False,38.0
5,,SAI,28,,,,,,False,False,
5,,STR,48,33.0,68.0,16.0,22.0,7.0,True,False,26.0
5,,VER,29,,,,,,False,False,
6,,ALB,42,41.0,78.0,28.0,41.0,14.0,True,False,1.0
6,,ANT,36,35.0,78.0,28.0,53.0,26.0,True,True,0.0
6,,BOR,42,40.0,78.0,28.0,63.0,36.0,True,True,0.0
6,,COL,34,33.0,78.0,28.0,53.0,26.0,True,True,0.0
6,,GAS,44,43.0,78.0,28.0,53.0,26.0,True,True,0.0
6,,HAD,31,30.0,78.0,28.0,53.0,26.0,True,True,0.0
6,,HAM,27,26.0,78.0,28.0,53.0,26.0,True,False,1.0
6,,HUL,11,10.0,78.0,28.0,53.0,26.0,True,False,17.0
6,,LAW,43,42.0,78.0,28.0,41.0,14.0,True,False,2.0
6,,LEC,34,33.0,78.0,28.0,53.0,26.0,True,True,0.0
6,,OCO,8,7.0,78.0,28.0,53.0,26.0,True,False,20.0
6,,PIA,47,46.0,78.0,28.0,53.0,26.0,True,True,0.0
6,,RUS,30,29.0,78.0,28.0,53.0,26.0,True,True,0.0
6,,SAI,51,50.0,78.0,28.0,41.0,14.0,True,False,10.0
7,,ALB,12,11.0,66.0,9.0,44.0,36.0,True,True,0.0
7,,ALO,20,19.0,66.0,9.0,53.0,45.0,True,True,0.0
7,,ANT,13,12.0,66.0,9.0,45.0,37.0,True,True,0.0
7,,ANT,36,21.0,66.0,16.0,53.0,38.0,True,True,0.0
7,,BEA,17,16.0,66.0,9.0,36.0,28.0,True,True,0.0
7,,BOR,14,13.0,66.0,9.0,49.0,41.0,True,True,0.0
7,,BOR,32,16.0,66.0,17.0,53.0,37.0,True,True,0.0
7,,BOR,52,18.0,66.0,35.0,50.0,16.0,True,False,2.0
7,,COL,11,10.0,66.0,9.0,47.0,39.0,True,True,0.0
7,,COL,33,20.0,66.0,14.0,51.0,38.0,True,True,0.0
7,,GAS,13,12.0,66.0,9.0,49.0,41.0,True,True,0.0
7,,GAS,38,23.0,66.0,16.0,51.0,36.0,True,True,0.0
7,,HAD,14,13.0,66.0,9.0,47.0,39.0,True,True,0.0
7,,HAD,31,15.0,66.0,17.0,51.0,35.0,True,True,0.0
7,,HAM,10,11.0,66.0,9.0,43.0,35.0,True,True,0.0
7,,HAM,26,14.0,66.0,13.0,53.0,41.0,True,True,0.0
7,,HAM,39,11.0,66.0,29.0,46.0,18.0,True,True,0.0
7,,HUL,12,11.0,66.0,9.0,47.0,39.0,True,True,0.0
7,,LAW,10,9.0,66.0,9.0,45.0,37.0,True,True,0.0
7,,LAW,34,22.0,66.0,13.0,51.0,39.0,True,True,0.0
7,,LEC,15,14.0,66.0,9.0,45.0,37.0,True,True,0.0
7,,LEC,38,21.0,66.0,18.0,50.0,33.0,True,True,0.0
7,,LIN,21,20.0,66.0,9.0,39.0,31.0,True,True,0.0
7,,NOR,12,11.0,66.0,9.0,39.0,31.0,True,True,0.0
7,,NOR,34,20.0,66.0,15.0,50.0,36.0,True,True,0.0
7,,OCO,12,11.0,66.0,9.0,42.0,34.0,True,True,0.0
7,,OCO,33,19.0,66.0,15.0,54.0,40.0,True,True,0.0
7,,PER,11,10.0,66.0,9.0,42.0,34.0,True,True,0.0
7,,PER,30,17.0,66.0,14.0,51.0,38.0,True,True,0.0
7,,PER,37,5.0,66.0,33.0,54.0,22.0,True,True,0.0
7,,PIA,13,12.0,66.0,9.0,44.0,36.0,True,True,0.0
7,,PIA,35,20.0,66.0,16.0,52.0,37.0,True,True,0.0
7,,RUS,11,10.0,66.0,9.0,45.0,37.0,True,True,0.0
7,,RUS,35,22.0,66.0,14.0,49.0,36.0,True,True,0.0
7,,SAI,13,12.0,66.0,9.0,45.0,37.0,True,True,0.0
7,,SAI,29,14.0,66.0,16.0,50.0,35.0,True,True,0.0
7,,SAI,54,23.0,66.0,32.0,53.0,22.0,True,False,1.0
7,,VER,11,13.0,66.0,9.0,12.0,4.0,True,True,0.0
7,,VER,28,15.0,66.0,14.0,45.0,32.0,True,True,0.0
7,,VER,39,9.0,66.0,31.0,53.0,23.0,True,True,0.0
8,,ALB,17,,,,,,False,False,
8,,ALB,36,17.0,71.0,20.0,56.0,37.0,True,True,0.0
8,,ALO,22,21.0,71.0,14.0,47.0,34.0,True,True,0.0
8,,ALO,48,23.0,71.0,26.0,43.0,18.0,True,False,5.0
8,,ANT,23,22.0,71.0,14.0,49.0,36.0,True,True,0.0
8,,ANT,50,25.0,71.0,26.0,60.0,35.0,True,True,0.0
