Round,attacker,rival,PitLap,rival_pit_lap,k,gap_s,pair,age_old,tt,rival_age,rival_compound,same_compound,pos_before,rival_pos_before,out_lap,pos_after,rival_pos_after,won,pace_delta_s,step0_s,gain_by_k_s,gain_lap1_s,margin_s,margin_lap1_s,needs_them_out_for,call_ahead,extrapolating
7,NOR,ANT,34,36,2,4.805000000000291,HARD>HARD,20.0,50.15628370900777,19.0,HARD,True,3,2,39,4,3,False,0.03633333333331734,1.9053889208531523,4.0574500052133216,2.0637296418617983,-0.7475499947869695,-2.7412703581384927,,False,False
7,OCO,SAI,12,13,1,2.4409999999998035,SOFT>HARD,11.0,50.55790841360676,11.0,SOFT,True,15,14,16,16,15,False,0.3303333333333285,1.5312395463429516,1.7337459886007833,1.7337459886007833,-0.7072540113990202,-0.7072540113990202,,False,False
7,PER,ALB,11,12,1,1.8040000000000873,SOFT>HARD,10.0,50.64544235773824,10.0,MEDIUM,False,19,18,15,20,19,False,0.17399999999999238,1.5343539808257487,1.7405451219525425,1.7405451219525425,-0.0634548780475448,-0.0634548780475448,,False,False
7,PIA,LEC,13,15,2,3.1500000000005457,MEDIUM>HARD,12.0,50.55952918929865,12.0,MEDIUM,True,5,4,18,7,6,False,0.11233333333332496,1.5433269232206885,3.440080946791574,1.7421486666095582,0.29008094679102836,-1.4078513333909874,2.0,True,False
7,PIA,LEC,35,38,3,7.90900000000056,HARD>HARD,20.0,50.146538703724886,18.0,HARD,True,6,5,42,7,6,False,-0.20233333333331416,1.9050421961535033,5.947110621670037,2.048694786864659,-1.9618893783305236,-5.860305213135901,,False,False
7,SAI,GAS,13,38,25,2.344000000000051,SOFT>HARD,12.0,50.55952918929865,12.0,MEDIUM,False,13,11,42,12,9,False,0.35233333333333405,1.5312972131115838,31.671306356107177,1.7301189565004536,29.327306356107126,-0.6138810434995974,2.0,True,False
7,SAI,COL,29,33,4,10.890000000000327,HARD>HARD,14.0,50.2882581736411,16.0,HARD,True,13,12,36,14,11,False,0.7580000000000098,1.9100845372518072,8.273093050901531,2.1567060355804677,-2.616906949098796,-8.73329396441986,,False,False
7,VER,NOR,11,12,1,2.2899999999999636,SOFT>MEDIUM,13.0,50.64544235773824,10.0,MEDIUM,False,5,4,15,6,5,False,0.5776666666666728,0.8631169393338198,0.9368109167130572,0.9368109167130572,-1.3531890832869065,-1.3531890832869065,,False,False
7,VER,NOR,28,34,6,8.304999999999382,MEDIUM>HARD,15.0,50.32655241935779,14.0,HARD,False,5,3,37,6,5,False,0.570999999999998,1.5350376716258483,9.386483593324977,1.6933783926344945,1.0814835933255953,-6.611621607364887,6.0,True,False
8,ALB,BEA,17,23,6,2.1790000000000873,MEDIUM>MEDIUM,16.0,50.77927368462618,16.0,MEDIUM,True,15,14,27,16,14,False,-0.13333333333333997,0.31662509087245405,1.9693630079616486,0.44304033722016906,-0.20963699203843866,-1.7359596627799183,,False,False
8,ALB,COL,36,45,9,3.5979999999999563,MEDIUM>HARD,17.0,50.9526231990338,15.0,HARD,False,16,15,48,16,17,True,0.8120000000000118,1.6754885222442786,14.42004806178333,1.7731481309506598,10.822048061783374,-1.8248518690492965,3.0,True,False
8,BEA,BOR,23,43,20,1.2419999999992797,MEDIUM>HARD,22.0,50.85929361862406,5.0,MEDIUM,True,12,11,47,14,11,False,2.3176666666666677,1.671766417028027,26.0725606887031,1.4385377185079078,24.83056068870382,0.1965377185086281,1.0,True,False
8,BOR,HAM,16,23,7,2.143000000000029,SOFT>MEDIUM,15.0,50.745516086486965,3.0,HARD,False,10,9,27,11,7,False,1.733166666666662,0.9907340467441866,4.8834931841141875,0.7234879561680367,2.7404931841141584,-1.4195120438319924,3.0,True,False
8,BOR,LAW,43,44,1,5.1359999999995125,MEDIUM>HARD,25.0,51.02392844678739,23.0,HARD,False,11,10,47,11,9,False,0.7669999999999959,1.6783322683904043,1.7903696959174522,1.7903696959174522,-3.3456303040820603,-3.3456303040820603,,False,False
8,COL,BEA,19,23,4,4.414999999999964,MEDIUM>HARD,18.0,50.80552263008317,18.0,MEDIUM,True,14,12,27,17,14,False,-0.43566666666667686,1.6696219599753714,6.851371256340863,1.7902936346068303,2.436371256340899,-2.6247063653931333,3.0,True,False
8,GAS,OCO,12,17,5,0.5059999999994034,MEDIUM>HARD,11.0,50.51953229821115,11.0,MEDIUM,True,13,12,20,14,18,True,0.0036666666666604897,1.6582162930754996,8.679055899175188,1.7989904687138552,8.173055899175784,1.2929904687144518,1.0,True,False
8,GAS,BOR,37,43,6,9.842999999999847,HARD>MEDIUM,23.0,50.958977986320086,19.0,MEDIUM,False,12,11,46,12,11,False,0.485666666666674,2.345905032938252,13.939643743934582,2.454683304955745,4.0966437439347345,-7.388316695044102,5.0,True,False
8,HAD,NOR,17,20,3,1.8560000000006767,MEDIUM>MEDIUM,16.0,50.77927368462618,16.0,MEDIUM,True,6,5,23,7,8,True,0.327666666666687,0.31662509087245405,1.1912752904703592,0.44304033722016906,-0.6647247095303175,-1.4129596627805077,,False,False
8,HAD,HAM,39,41,2,4.180000000000291,MEDIUM>HARD,20.0,50.96182757958155,15.0,SOFT,False,6,5,44,8,7,False,0.1866666666666532,1.6758556049280187,3.452148156770414,1.7476124723211677,-0.7278518432298768,-2.4323875276791234,,False,False
8,HAM,RUS,11,18,7,2.968000000000302,MEDIUM>HARD,10.0,50.459629302801,10.0,MEDIUM,True,2,1,21,3,2,False,0.34466666666665446,1.6558272836027648,11.993237685487841,1.7994732450992483,9.02523768548754,-1.1685267549010536,2.0,True,False
8,HUL,LEC,20,36,16,13.277000000000044,MEDIUM>MEDIUM,19.0,50.831070109290586,6.0,HARD,False,10,7,39,12,8,False,2.2106666666666825,0.3186907997461053,0.13393409887949592,0.13757939538377126,-13.143065901120547,-13.139420604616273,,False,False
