Round,Event,Driver,PitLap,InLap,t_inlap,t_outlap,t_old,t_new,pit_loss_s,green
8,Austrian Grand Prix,PIA,18.0,19.0,78.254,89.535,73.24366666666667,71.48966666666666,23.055666666666667,True
8,Austrian Grand Prix,PIA,41.0,42.0,76.481,88.093,72.05233333333332,70.73066666666666,21.79100000000001,True
8,Austrian Grand Prix,BEA,23.0,24.0,86.766,109.866,75.01766666666667,73.07600000000001,48.53833333333333,False
8,Austrian Grand Prix,BEA,44.0,45.0,78.343,89.486,74.13033333333333,72.83533333333334,20.863333333333344,True
9,British Grand Prix,NOR,27.0,28.0,94.291,114.51,94.58933333333334,93.18366666666668,21.027999999999977,True
9,British Grand Prix,NOR,37.0,38.0,99.35,122.902,93.653,93.02766666666668,35.571333333333314,False
9,British Grand Prix,PER,20.0,21.0,106.363,117.455,97.13066666666668,96.836,29.851333333333315,False
9,British Grand Prix,ALO,19.0,20.0,98.549,125.709,99.35566666666666,98.24666666666668,26.65566666666666,False
9,British Grand Prix,LEC,24.0,25.0,94.043,113.087,94.35466666666666,93.12833333333332,19.647000000000034,True
9,British Grand Prix,STR,17.0,18.0,98.555,117.914,99.36033333333334,98.53833333333334,18.570333333333323,True
9,British Grand Prix,ALB,13.0,14.0,96.301,130.478,99.005,96.495,31.27900000000001,True
9,British Grand Prix,ALB,22.0,23.0,95.696,131.274,96.713,95.187,35.07000000000001,True
9,British Grand Prix,HUL,16.0,17.0,95.32,117.052,95.96999999999998,95.49333333333334,20.908666666666676,True
9,British Grand Prix,VER,16.0,17.0,94.07,113.805,94.626,93.772,19.47699999999999,True
9,British Grand Prix,VER,37.0,38.0,94.716,126.998,93.98733333333332,92.52666666666666,35.20000000000002,False
9,British Grand Prix,LAW,27.0,28.0,94.425,115.256,95.68933333333332,94.16066666666666,19.831000000000017,True
9,British Grand Prix,OCO,20.0,21.0,100.308,133.694,96.744,95.926,41.331999999999994,False
9,British Grand Prix,LIN,26.0,27.0,94.582,115.314,95.622,93.76933333333334,20.50466666666665,True
9,British Grand Prix,COL,20.0,22.0,99.303,116.744,96.03333333333336,94.56833333333331,25.445333333333323,False
9,British Grand Prix,HAM,21.0,23.0,94.245,119.696,94.60066666666668,92.63066666666668,26.709666666666635,True
9,British Grand Prix,BOR,25.0,26.0,95.15,114.633,95.63533333333334,93.832,20.315666666666672,True
9,British Grand Prix,SAI,19.0,20.0,95.516,125.649,96.51033333333334,95.63633333333333,29.018333333333345,False
9,British Grand Prix,HAD,37.0,38.0,102.454,123.195,94.515,92.628,38.505999999999986,False
9,British Grand Prix,RUS,21.0,23.0,93.95,113.703,94.513,92.83933333333334,20.300666666666658,True
9,British Grand Prix,RUS,33.0,34.0,93.43,114.041,94.03,92.52333333333335,20.917666666666648,True
9,British Grand Prix,BOT,28.0,29.0,97.033,120.479,98.008,96.09633333333332,23.407666666666685,True
9,British Grand Prix,PIA,35.0,36.0,94.546,121.405,96.016,93.283,26.652,False
9,British Grand Prix,BEA,28.0,29.0,96.36,116.757,97.04066666666668,94.77166666666666,21.304666666666662,True
10,Belgian Grand Prix,LEC,19.0,20.0,128.966,131.825,111.15566666666666,109.548,40.08733333333333,False
10,Belgian Grand Prix,VER,16.0,17.0,115.718,137.096,111.23366666666668,109.79166666666669,31.788666666666643,False
10,Belgian Grand Prix,HAM,19.0,20.0,131.009,138.908,112.04533333333332,110.04266666666666,47.82899999999999,False
10,Belgian Grand Prix,PIA,19.0,20.0,130.454,129.309,112.363,109.67733333333337,37.72266666666664,False
10,Belgian Grand Prix,HAD,19.0,20.0,134.214,127.242,111.383,109.83533333333332,40.237666666666684,False
10,Belgian Grand Prix,NOR,29.0,30.0,115.056,129.847,111.171,109.39866666666668,24.333333333333314,True
10,Belgian Grand Prix,BOR,19.0,20.0,135.782,124.602,112.21566666666666,110.43733333333334,37.73100000000001,False
10,Belgian Grand Prix,LIN,15.0,16.0,116.679,128.544,112.20166666666668,110.73933333333332,22.28200000000001,True
10,Belgian Grand Prix,COL,14.0,15.0,117.406,127.628,113.1,111.992,19.942000000000007,True
10,Belgian Grand Prix,GAS,13.0,14.0,116.937,127.662,112.299,112.23666666666668,20.06333333333332,True
10,Belgian Grand Prix,LAW,14.0,15.0,116.581,126.99,112.44933333333334,112.30266666666668,18.818999999999974,True
10,Belgian Grand Prix,HUL,19.0,20.0,137.243,128.886,112.14433333333334,111.75566666666668,42.22899999999997,False
10,Belgian Grand Prix,BEA,19.0,20.0,140.849,132.242,113.26533333333334,111.27866666666668,48.546999999999954,False
10,Belgian Grand Prix,ALB,17.0,18.0,129.013,126.644,113.50633333333332,112.17199999999998,29.97866666666671,False
10,Belgian Grand Prix,SAI,13.0,14.0,117.774,140.077,114.01066666666668,112.19733333333332,31.643,True
10,Belgian Grand Prix,OCO,15.0,16.0,118.022,127.396,113.51,112.09633333333332,19.81166666666668,True
10,Belgian Grand Prix,BOT,31.0,32.0,121.245,130.677,114.83666666666666,112.77266666666668,24.312666666666658,True
10,Belgian Grand Prix,ALO,30.0,31.0,124.124,133.039,119.21933333333332,115.55066666666666,22.393,True
11,Hungarian Grand Prix,NOR,16.0,17.0,87.912,105.312,85.69,84.69133333333333,22.842666666666673,True
11,Hungarian Grand Prix,NOR,38.0,39.0,87.437,102.596,84.568,82.977,22.488,False
11,Hungarian Grand Prix,NOR,55.0,56.0,92.344,111.054,84.17566666666666,83.40499999999999,35.81733333333335,False
11,Hungarian Grand Prix,GAS,15.0,16.0,91.103,105.148,88.06700000000001,86.12866666666667,22.05533333333331,True
11,Hungarian Grand Prix,GAS,37.0,39.0,90.776,108.555,87.54866666666665,85.19033333333333,26.592000000000027,True
11,Hungarian Grand Prix,GAS,54.0,55.0,102.183,102.873,85.77266666666667,83.27999999999999,36.00333333333336,False
11,Hungarian Grand Prix,ANT,21.0,22.0,88.51,104.538,85.61466666666666,84.35366666666665,23.079666666666682,True
11,Hungarian Grand Prix,ANT,52.0,53.0,87.057,102.02,84.842,82.45,21.784999999999997,True
11,Hungarian Grand Prix,ALO,33.0,34.0,91.532,105.31,88.50099999999999,86.60266666666666,21.738333333333344,True
11,Hungarian Grand Prix,ALO,54.0,55.0,105.78,104.109,86.12333333333333,84.04599999999999,39.71966666666667,False
11,Hungarian Grand Prix,LEC,15.0,16.0,88.909,104.646,86.06133333333334,84.81533333333334,22.678333333333327,True
11,Hungarian Grand Prix,LEC,35.0,36.0,88.451,104.285,86.14866666666666,84.25233333333334,22.334999999999994,True
11,Hungarian Grand Prix,LEC,55.0,56.0,100.087,102.194,84.753,82.241,35.287000000000006,False
11,Hungarian Grand Prix,STR,7.0,8.0,91.065,104.057,88.13733333333333,87.145,19.839666666666673,True
11,Hungarian Grand Prix,STR,36.0,37.0,90.469,105.698,87.68599999999999,86.08133333333335,22.399666666666647,False
11,Hungarian Grand Prix,ALB,25.0,26.0,91.997,108.303,88.87033333333333,86.68233333333335,24.747333333333316,True
11,Hungarian Grand Prix,ALB,53.0,54.0,92.938,115.515,87.20533333333333,85.90733333333333,35.34033333333335,False
11,Hungarian Grand Prix,HUL,18.0,19.0,90.376,104.492,87.92333333333333,86.88100000000001,20.063666666666663,True
11,Hungarian Grand Prix,HUL,37.0,39.0,88.815,103.396,86.21300000000001,84.887,21.11099999999999,True
11,Hungarian Grand Prix,VER,13.0,14.0,88.509,103.352,85.77233333333334,85.31099999999999,20.777666666666676,True
11,Hungarian Grand Prix,VER,40.0,41.0,88.414,103.103,85.79833333333333,84.28566666666667,21.432999999999993,True
11,Hungarian Grand Prix,LAW,20.0,21.0,90.678,105.587,87.64766666666667,86.069,22.548333333333332,True
11,Hungarian Grand Prix,LAW,41.0,42.0,88.645,103.497,86.55433333333333,85.13499999999999,20.452666666666673,True
11,Hungarian Grand Prix,OCO,16.0,17.0,90.958,106.962,88.74933333333333,87.11200000000001,22.058666666666667,True
11,Hungarian Grand Prix,OCO,34.0,35.0,89.788,108.386,88.16000000000001,87.28166666666668,22.7323333333333,True
11,Hungarian Grand Prix,LIN,19.0,20.0,89.434,104.243,87.871,86.902,18.903999999999996,True
11,Hungarian Grand Prix,COL,14.0,15.0,90.993,107.212,88.58666666666666,86.60833333333333,23.010000000000005,True
11,Hungarian Grand Prix,COL,36.0,37.0,89.389,107.418,88.15599999999999,85.07333333333332,23.577666666666687,False
11,Hungarian Grand Prix,HAM,12.0,13.0,88.64,103.085,85.64533333333333,85.36433333333332,20.715333333333348,True
11,Hungarian Grand Prix,HAM,29.0,30.0,88.24,103.95,85.68533333333333,84.02633333333334,22.478333333333325,True
11,Hungarian Grand Prix,HAM,55.0,56.0,96.308,106.522,84.42933333333333,83.53099999999999,34.86966666666669,False
11,Hungarian Grand Prix,BOR,28.0,29.0,91.099,104.949,87.353,85.57233333333335,23.12266666666666,True
11,Hungarian Grand Prix,SAI,17.0,18.0,90.214,104.718,88.298,87.04199999999999,19.592000000000013,True
11,Hungarian Grand Prix,SAI,42.0,43.0,90.441,112.387,88.146,86.20033333333333,28.48166666666667,True
