Round,Driver,PitLap,c_old,c_new,age_old,age_new,t_old,t_new,fuel_old,fuel_new,close_old,close_new,step_obs,pair,d_fuel,d_close,tt
8,BOR,16.0,SOFT,MEDIUM,15.0,3.0,74.29233333333333,72.87299999999999,56.19718309859155,51.267605633802816,0.13646532438478748,0.5376476145488899,1.4193333333333413,SOFT>MEDIUM,4.929577464788736,-0.4011822901641024,51.092599240344256
8,BOR,43.0,MEDIUM,HARD,25.0,3.0,74.109,72.19333333333333,29.577464788732396,24.64788732394366,0.28603603603603606,0.016203703703703703,1.9156666666666666,MEDIUM>HARD,4.929577464788736,0.26983233233233234,51.092599240344256
8,COL,19.0,MEDIUM,HARD,18.0,5.666666666666667,74.554,72.979,53.239436619718305,45.68075117370893,0.13199105145413872,0.25407022516139194,1.5750000000000028,MEDIUM>HARD,7.5586854460093775,-0.12207917370725321,51.092599240344256
8,COL,45.0,HARD,MEDIUM,24.0,3.0,74.305,72.205,27.6056338028169,22.67605633802817,0.21103452418494992,0.31936462324393355,2.1000000000000085,HARD>MEDIUM,4.9295774647887285,-0.10833009905898364,51.092599240344256
8,GAS,12.0,MEDIUM,HARD,11.0,3.0,75.22833333333334,73.192,60.140845070422536,55.2112676056338,0.9713024282560706,0.2853570652005094,2.0363333333333458,MEDIUM>HARD,4.929577464788736,0.6859453630555612,51.092599240344256
8,GAS,37.0,HARD,MEDIUM,23.0,3.0,73.87433333333334,72.37766666666667,35.49295774647887,30.563380281690144,0.0,0.23287671232876714,1.4966666666666697,HARD>MEDIUM,4.9295774647887285,-0.23287671232876714,51.092599240344256
8,GAS,50.0,MEDIUM,SOFT,11.0,3.0,72.83466666666666,72.63366666666667,22.67605633802817,17.746478873239436,0.12934553131597468,0.6425910765096564,0.2009999999999934,MEDIUM>SOFT,4.929577464788736,-0.5132455451936817,51.092599240344256
8,HAD,17.0,MEDIUM,MEDIUM,16.0,3.0,73.58033333333334,71.635,55.2112676056338,50.28169014084508,0.036281179138321996,0.7513759388759388,1.9453333333333376,MEDIUM>MEDIUM,4.929577464788721,-0.7150947597376168,51.092599240344256
8,HAD,39.0,MEDIUM,HARD,20.0,3.0,72.45666666666666,71.45700000000001,33.521126760563384,28.591549295774644,0.0,0.39478711348551077,0.9996666666666556,MEDIUM>HARD,4.929577464788739,-0.39478711348551077,51.092599240344256
8,HAM,11.0,MEDIUM,HARD,10.0,3.0,73.33366666666666,72.473,61.12676056338029,56.19718309859155,0.07401064568386946,0.30344827586206896,0.8606666666666598,MEDIUM>HARD,4.929577464788736,-0.22943763017819951,51.092599240344256
8,HAM,23.0,HARD,SOFT,10.0,5.0,72.75533333333334,71.25333333333333,49.29577464788732,43.38028169014084,0.22084584584584585,0.6499885091434386,1.5020000000000095,HARD>SOFT,5.91549295774648,-0.42914266329759276,51.092599240344256
8,HAM,41.0,SOFT,HARD,17.0,3.0,72.28266666666667,71.20233333333333,31.549295774647888,26.619718309859156,0.5257024265644955,0.14944679733412128,1.0803333333333427,SOFT>HARD,4.929577464788732,0.37625562923037426,51.092599240344256
8,HUL,20.0,MEDIUM,MEDIUM,19.0,5.0,74.53566666666666,72.93499999999999,52.25352112676055,45.35211267605634,0.0,0.2785388127853881,1.600666666666669,MEDIUM>MEDIUM,6.90140845070421,-0.2785388127853881,51.092599240344256
8,HUL,44.0,MEDIUM,HARD,22.0,3.0,73.01800000000001,72.41166666666668,28.591549295774644,23.661971830985916,0.0,0.0,0.6063333333333389,MEDIUM>HARD,4.9295774647887285,0.0,51.092599240344256
8,LAW,18.0,MEDIUM,HARD,17.0,3.0,74.349,73.13466666666666,54.225352112676056,49.29577464788733,0.09999999999999999,0.6699657853413168,1.214333333333343,MEDIUM>HARD,4.9295774647887285,-0.5699657853413168,51.092599240344256
8,LAW,44.0,HARD,MEDIUM,24.0,3.0,73.63566666666667,72.127,28.591549295774644,23.661971830985916,0.486057486057486,0.279757343550447,1.5086666666666702,HARD>MEDIUM,4.9295774647887285,0.20630014250703899,51.092599240344256
8,LEC,12.0,MEDIUM,HARD,11.0,3.0,73.329,72.77666666666666,60.140845070422536,55.2112676056338,0.05234057093156897,0.2191780821917808,0.5523333333333369,MEDIUM>HARD,4.929577464788736,-0.16683751126021185,51.092599240344256
8,LEC,36.0,HARD,HARD,22.0,3.0,72.36466666666666,71.45566666666667,36.478873239436616,31.549295774647888,0.0,0.06018518518518518,0.9089999999999918,HARD>HARD,4.9295774647887285,-0.06018518518518518,51.092599240344256
8,LEC,58.0,HARD,SOFT,20.0,6.0,72.91866666666667,70.968,14.788732394366194,9.859154929577464,0.36052431742086916,0.23474178403755866,1.9506666666666632,HARD>SOFT,4.92957746478873,0.1257825333833105,51.092599240344256
8,LIN,17.0,MEDIUM,HARD,16.0,3.0,74.44333333333334,72.89566666666666,55.2112676056338,50.28169014084508,0.09843400447427293,0.5127062319180545,1.5476666666666858,MEDIUM>HARD,4.929577464788721,-0.4142722274437816,51.092599240344256
8,LIN,45.0,HARD,MEDIUM,26.0,3.0,73.95433333333334,72.04766666666667,27.6056338028169,22.67605633802817,0.0,0.38425925925925924,1.9066666666666663,HARD>MEDIUM,4.9295774647887285,-0.38425925925925924,51.092599240344256
8,NOR,20.0,MEDIUM,HARD,19.0,5.0,73.78866666666667,71.82966666666665,52.25352112676055,45.35211267605634,0.0971532757247043,0.0,1.9590000000000174,MEDIUM>HARD,6.90140845070421,0.0971532757247043,51.092599240344256
8,NOR,46.0,HARD,HARD,24.0,3.0,72.36399999999999,71.00966666666666,26.619718309859156,21.69014084507042,0.17592592592592593,0.14553990610328638,1.3543333333333294,HARD>HARD,4.929577464788736,0.030386019822639554,51.092599240344256
8,OCO,17.0,MEDIUM,MEDIUM,16.0,3.0,75.44066666666667,74.16066666666667,55.2112676056338,50.28169014084508,0.40397350993377484,0.3836991353769877,1.2800000000000011,MEDIUM>MEDIUM,4.929577464788721,0.020274374556787156,51.092599240344256
