round,driver,lap,issued_s,label_s,control_selection_s,pair,new_compound,old_age,new_age,raw_step_s,control_step_s,relative_step_s,controls,control_n,placebo_relative_s,pretrend_corrected_s,control_mad_s,pre_traffic,post_traffic,pre_mean_s,post_mean_s
6,ALB,42,6665.4,7133.13,7133.13,MEDIUM>SOFT,SOFT,42,2,-3.1666666666666714,0.1563333333333503,-3.3230000000000217,"ALO,RUS,PIA,PER,LIN",5,0.5299999999999869,-3.8530000000000086,1.3796666666666795,,,79.66866666666667,82.83533333333334
6,BOR,42,6722.271,7133.13,7133.13,HARD>MEDIUM,MEDIUM,41,2,4.298999999999992,2.503,1.7959999999999923,"RUS,PER,LIN,SAI,HUL",5,-0.7249999999999943,2.5209999999999866,0.8276666666666586,,,81.32533333333333,77.02633333333334
6,LAW,43,6731.984,7210.312,7210.312,MEDIUM>SOFT,SOFT,43,6,1.4820000000000135,-0.5433333333333223,2.025333333333336,"ALO,STR,PER,COL,RUS",5,-0.6829999999999927,2.7083333333333286,2.0093333333333163,,,79.74833333333333,78.26633333333332
6,GAS,44,6791.199,7289.665,7289.665,MEDIUM>HARD,HARD,44,2,-0.4243333333333368,0.09133333333333837,-0.5156666666666752,"HAD,STR,ALO,HAM,RUS",5,0.9429999999999978,-1.458666666666673,1.8316666666666777,,,78.78066666666666,79.205
6,PIA,47,7021.203,7529.514,7529.514,MEDIUM>HARD,HARD,47,2,2.0363333333333458,-0.2953333333333461,2.331666666666692,"PER,HAD,ALO,HAM,BOR",5,-0.8730000000000047,3.2046666666666965,0.25900000000000034,,,79.528,77.49166666666666
6,SAI,51,7397.363,7857.165,7857.165,MEDIUM>SOFT,SOFT,51,2,-1.630999999999986,-0.21433333333334303,-1.416666666666643,"HAD,LAW,LIN,HAM,RUS",5,1.586666666666659,-3.003333333333302,0.21966666666664025,,,78.09500000000001,79.726
7,HAM,10,4051.855,4576.409,4576.409,SOFT>HARD,HARD,12,2,1.656666666666652,-0.07783333333333076,1.7344999999999828,"LEC,BEA,LIN,ALO",4,0.1910000000000167,1.5434999999999661,0.14649999999999608,0.006000000000000001,0.12855566666666668,83.463,81.80633333333334
7,LAW,10,4072.946,4576.409,4576.409,MEDIUM>HARD,HARD,10,2,0.7536666666666747,-0.07783333333333076,0.8315000000000055,"BEA,LIN,LEC,ALO",4,0.061666666666667425,0.769833333333338,0.14649999999999608,0.005859333333333334,0.033530666666666674,85.26100000000001,84.50733333333334
7,COL,11,4165.659,4629.973,4629.973,SOFT>HARD,HARD,11,2,2.049666666666667,0.23600000000001842,1.8136666666666486,"LIN,BEA,ALO",3,-0.029666666666656738,1.8433333333333053,0.07166666666668675,0.24846,0.027743,85.99866666666667,83.949
7,PER,11,4177.838,4629.973,4629.973,SOFT>HARD,HARD,11,2,2.100666666666669,0.23600000000001842,1.8646666666666505,"BEA,LIN,ALO",3,0.15066666666668027,1.7139999999999702,0.07166666666668675,0.04798133333333334,0.2695596666666667,86.87333333333333,84.77266666666667
7,RUS,11,4132.042,4629.973,4629.973,MEDIUM>HARD,HARD,11,2,1.4953333333333347,0.23600000000001842,1.2593333333333163,"LIN,BEA,ALO",3,-0.1486666666666565,1.4079999999999728,0.07166666666668675,0.009992,0.04070033333333333,83.46966666666667,81.97433333333333
7,VER,11,4143.526,4629.973,4629.973,SOFT>MEDIUM,MEDIUM,14,2,2.1466666666666754,0.23600000000001842,1.910666666666657,"LIN,BEA,ALO",3,0.09933333333331973,1.8113333333333372,0.07166666666668675,0.009909000000000001,0.08131366666666667,84.153,82.00633333333333
7,ALB,12,4261.926,4715.092,4715.092,MEDIUM>HARD,HARD,12,2,1.5390000000000157,0.3433333333333195,1.1956666666666962,"BEA,LIN,ALO",3,0.24766666666663184,0.9480000000000643,0.08800000000000807,0.069364,0.17071433333333333,86.53666666666668,84.99766666666666
7,HUL,12,4245.254,4715.092,4715.092,SOFT>HARD,HARD,12,2,1.0703333333333234,0.3433333333333195,0.7270000000000039,"BEA,LIN,ALO",3,0.42199999999998283,0.30500000000002103,0.08800000000000807,0.4074073333333333,0.22752966666666666,85.52766666666666,84.45733333333334
7,NOR,12,4223.084,4715.092,4715.092,MEDIUM>HARD,HARD,12,2,1.3769999999999953,0.3433333333333195,1.0336666666666758,"BEA,LIN,ALO",3,0.603333333333353,0.4303333333333228,0.08800000000000807,0.021956000000000003,0.3800813333333333,83.446,82.069
7,OCO,12,4258.367,4715.092,4715.092,SOFT>HARD,HARD,12,2,2.350999999999999,0.3433333333333195,2.0076666666666796,"BEA,LIN,ALO",3,-0.2773333333333312,2.285000000000011,0.08800000000000807,0.011549666666666666,0.193294,86.69266666666665,84.34166666666665
7,ANT,13,4304.509,4800.11,4800.11,MEDIUM>HARD,HARD,13,2,1.6576666666666569,,,"LIN,ALO",2,0.32433333333332826,,,0.009980000000000001,0.012195333333333334,83.50433333333334,81.84666666666668
7,GAS,13,4338.165,4800.11,4800.11,MEDIUM>HARD,HARD,13,2,2.595333333333329,,,"LIN,ALO",2,0.5166666666666657,,,0.5693823333333333,0.14374833333333334,85.85266666666666,83.25733333333334
7,PIA,13,4315.354,4800.11,4800.11,MEDIUM>HARD,HARD,13,2,1.7246666666666641,,,"LIN,ALO",2,0.6033333333333388,,,0.013888666666666667,0.08511933333333332,84.071,82.34633333333333
7,SAI,13,4341.52,4800.11,4800.11,SOFT>HARD,HARD,13,2,2.092666666666659,,,"LIN,ALO",2,-0.11233333333331075,,,0.015436666666666666,0.03961166666666667,86.33699999999999,84.24433333333333
7,BOR,14,4433.726,4886.446,4886.446,MEDIUM>HARD,HARD,14,2,3.0576666666666625,,,"LIN,ALO",2,-0.049000000000020805,,,0.526831,0.14907066666666666,86.70566666666667,83.64800000000001
